KCD코드,산정특례코드,항목분류,질환명(한글),질환명(영문),검사기준(신규등록기준),검사항목(신규등록기준),필수검사조합(신규등록기준),검사기준(재등록기준),검사항목(재등록기준),필수검사조합(재등록기준)
,V901,코드 없음,13번 염색체 장완 21-22 부분의 결손,13q21-22 deletion,,,,,,
,V901,코드 없음,3번 염색체 장완 26 부분의 중복,3q26 duplication,,,,,,
,V901,코드 없음,10번 염색체 장완 말단부의 단일염색체증,Distal monosomy 10q,,,,,,
,V901,코드 없음,1번 염색체 장완의 21.1 부분의 미세결손 증후군,1q21.1 microdeletion syndrome,,,,,,
,V901,코드 없음,5번 염색체 장완의 결손 증후군,5q deletion syndrome,,,,,,
,V901,코드 없음,6번 염색체 단완의 결손 증후군,6p deletion syndrome,,,,,,
,V901,코드 없음,1번 염색체 단완의 결손 증후군,1p deletion syndrome,,,,,,
,V901,코드 없음,14번 염색체 장완 말단부의 단일염색체증,Distal monosomy 14q,,,,,,
,V901,코드 없음,10번 염색체 장완의 22-23 부분의 미세결손 증후군,10q22q23 microdeletion syndrome,,,,,,
,V901,코드 없음,5번 염색체 장완 31 부분의 미세결손으로 인한 가족성 만곡족,Familial clubfoot due to 5q31 microdeletion,,,,,,
,V901,코드 없음,16단완11.2 미세중복,16p 11.2 microduplication,,,,,,
,V901,코드 없음,8번 삼염색체 섞임증,Mosaic trisomy 8,,,,,,
,V901,코드 없음,X 염색체장완의 28부분의 중복 증후군,Chromosome Xq28 duplication syndrome,,,,,,
,V901,코드 없음,5번 염색체 장완의 말단부 삼염색체증,Distal 5q trisomy,,,,,,
,V901,코드 없음,18번 고리모양 염색체,Ring chromosome 18,,,,,,
,V901,코드 없음,17번 염색체 단완 13.3 부분의 미세결손 증후군,Distal 17p13.3 microdeletion syndrome,,,,,,
,V901,코드 없음,17번 염색체 단완 13.1 부분의 미세결손 증후군,Distal 17p13.1 microdeletion syndrome,,,,,,
,V901,코드 없음,4번 염색체 장완의 21 부분의 미세결손 증후군,4q21 microdeletion syndrome,,,,,,
,V901,코드 없음,3번 염색체 장완의 중복 증후군,3q duplication syndrome,,,,,,
,V901,코드 없음,10단완 11-12 결손 증후군,10p11-12 deletion syndrome,,,,,,
,V901,코드 없음,2번 염색체 단완 결손,2p deletion,,,,,,
,V901,코드 없음,17번 염색체 장완의 중복 증후군,17q duplication syndrome,,,,,,
,V900,코드 없음,일차성 색소성 결절성 부신피질 질환,Primary pigmented nodular adrenocortical disease,"o 영상검사
 1) 검사: MRI or CT
 2) 검사결과: 부신윤곽의 이상소견 및 1 cm 이하의 양측성 미세결절 확인

o 특수생화학/면역학,도말/배양검사
 1) 검사: 24시간 소변, 야간 덱사메타손 억제검사
 2) 검사결과: 호르몬검사에서 ACTH 수치 억제, 부신에서의 코르티솔의 과잉생산

o 조직검사
특징적인 색소침착 결절들 발견

o 임상진단 
다음 증상 중 두 가지 이상 해당할 경우
질환으로 인해 중증도 높은 증상: 1.조절되지 않는 당뇨병 2.조절되지 않는 고혈압 3.심혈관계질환 4.감염증 5.폐색전증 6.골다공증이나 골절 7.급성 편집증이나 우울증 ","영상검사, 특수생화학/면역학·도말/배양검사, 조직학검사, 임상진단","(영상검사, 특수생화학/면역학·도말/배양검사, 조직학검사, 임상진단)","o 영상검사
검사: MRI or CT

2번 검사항목 최초등록과 동일
  
o 임상진단
부신절제술 후 쿠싱증후군이 계속 지속 될 경우","영상검사, 특수생화학/면역학·도말/배양검사, 임상진단","(영상검사, 특수생화학/면역학·도말/배양검사, 임상진단)"
,V900,코드 없음,종양 괴사 인자 수용체와 관련된 주기성 증후군,Tumor necrosis factor receptor- associated periodic syndrome,"o 유전학검사
TNFRSF1A 

o 임상진단(다음 증상 중 1개 이상 해당할 경우)
1) 7일 이상 지속되는 주기적 발열 (발열의 주기는 다양, 1-4 주 혹은 그 이상도 가능)
2) 근육통
3) 이동성 발진
4) 눈주위 부종
5) 가족력","유전학검사, 임상진단","(유전학검사, 임상진단)","최초등록과 동일하며, 5년이후 재등록필요하다 사료될 경우 의료진의 임상소견만으로 등록",임상진단,(임상진단)
